Nama Berkas,Algoritma,Ukuran Berkas (byte),Waktu Enkripsi (ms),Waktu Dekripsi (ms),Entropi Plaintext,Entropi Ciphertext,Avalanche Effect (%),Dekripsi Identik
File Teks 1 KB,AES-256-GCM,1024,594.49,629.56,4.8781,7.8168,50.7,Ya
File Teks 1 KB,ChaCha20-Poly1305,1024,493.51,495.9,4.8781,7.8054,49.82,Ya
File Teks 1 MB,AES-256-GCM,1048576,501.41,520.22,4.8803,7.9998,50.05,Ya
File Teks 1 MB,ChaCha20-Poly1305,1048576,512.48,490.57,4.8803,7.9999,49.99,Ya
File Teks 10 MB,AES-256-GCM,10485760,556.1,534.51,4.8803,8.0,50.0,Ya
File Teks 10 MB,ChaCha20-Poly1305,10485760,612.25,582.81,4.8803,8.0,50.0,Ya
Dokumen PDF,AES-256-GCM,12303288,566.83,579.38,7.9943,8.0,50.0,Ya
Dokumen PDF,ChaCha20-Poly1305,12303288,682.95,662.64,7.9943,8.0,50.01,Ya
Gambar BMP,AES-256-GCM,6635574,557.51,530.11,6.6398,8.0,50.0,Ya
Gambar BMP,ChaCha20-Poly1305,6635574,552.25,549.53,6.6398,8.0,50.0,Ya
Gambar JPG,AES-256-GCM,107357,505.4,583.23,7.5312,7.9982,50.01,Ya
Gambar JPG,ChaCha20-Poly1305,107357,505.55,502.55,7.5312,7.9983,49.99,Ya
Gambar PNG,AES-256-GCM,1400325,513.77,518.92,7.9882,7.9999,49.99,Ya
Gambar PNG,ChaCha20-Poly1305,1400325,512.41,500.19,7.9882,7.9999,49.99,Ya
